Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby\abdelal01,PF,23,POR,71,1,13.2,2.5,5.1,0.493,0,0,,2.5,5.1,0.493,0.493,1.1,1.4,0.752,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1
2,Mahmoud Abdul-Rauf\abdulma02,PG,22,DEN,81,11,19,4.4,10.4,0.421,0.4,1.2,0.33,4,9.3,0.433,0.44,1.2,1.3,0.87,0.3,1.1,1.4,2.4,0.5,0,1.4,1.6,10.3
3,Mark Acres\acresma01,C,29,ORL,68,6,13.6,1.1,2.2,0.517,0,0,0.333,1.1,2.2,0.52,0.52,0.8,1,0.761,1.4,2.3,3.7,0.3,0.4,0.2,0.5,2.1,3.1
4,Michael Adams\adamsmi01,PG,29,WSB,78,78,35.8,6.2,15.8,0.393,1.6,4.9,0.324,4.6,10.9,0.425,0.444,4,4.6,0.869,0.7,3.2,4,7.6,1.9,0.1,2.7,2.1,18.1
5,Rafael Addison\addisra01,SF,27,NJN,76,8,15.5,2.5,5.7,0.433,0.2,0.6,0.286,2.3,5,0.452,0.449,0.7,1,0.737,0.9,1.3,2.2,0.9,0.4,0.4,0.6,1.4,5.8
6,Mark Aguirre\aguirma01,SF,32,DET,75,12,21.1,4.5,10.5,0.431,0.2,0.9,0.211,4.3,9.5,0.453,0.44,2.1,3.1,0.687,0.9,2.3,3.1,1.7,0.7,0.1,1.4,2.3,11.3
7,Danny Ainge\aingeda01,SG,32,POR,81,6,19.7,3.7,8.3,0.442,1,2.8,0.339,2.7,5.5,0.496,0.5,1.3,1.6,0.824,0.5,1.3,1.8,2.5,0.9,0.2,0.9,1.8,9.7
8,Victor Alexander\alexavi01,C,22,GSW,80,28,16.9,3,5.7,0.529,0,0,0,3,5.7,0.531,0.529,1.3,1.9,0.691,1.3,2.9,4.2,0.4,0.6,0.8,1.1,2.2,7.4
9,Greg Anderson\andergr01,PF,27,DEN,82,82,34.1,4.7,10.4,0.456,0,0,0,4.7,10.4,0.458,0.456,2,3.3,0.623,4.1,7.4,11.5,1,1.1,0.8,2.5,3.2,11.5
10,Kenny Anderson\anderke01,PG,21,NJN,64,13,17,2.9,7.5,0.39,0,0.2,0.231,2.9,7.3,0.394,0.393,1.1,1.5,0.745,0.6,1.4,2,3.2,1,0.1,1.5,1.1,7
11,Nick Anderson\anderni01,SG,24,ORL,60,59,36.7,8,17.4,0.463,0.5,1.4,0.353,7.5,16,0.472,0.477,3.4,5.1,0.667,1.6,4.8,6.4,2.7,1.6,0.6,2.1,2.2,19.9
12,Ron Anderson\anderro01,SF,33,PHI,82,11,29.7,5.7,12.3,0.465,0.5,1.5,0.331,5.2,10.7,0.485,0.486,1.7,2,0.877,1.2,2.2,3.4,1.6,1,0.1,1.3,1.6,13.7
13,Willie Anderson\anderwi01,SG,25,SAS,57,55,33.1,5.5,12,0.455,0.2,1,0.232,5.2,11,0.475,0.465,1.9,2.4,0.775,1.1,4.2,5.3,5.3,0.9,0.9,2.5,2.6,13.1
14,Michael Ansley\anslemi01,SF,24,TOT,10,0,4.5,0.8,1.8,0.444,0,0,,0.8,1.8,0.444,0.444,0.5,0.6,0.833,0.2,0.4,0.6,0.2,0,0,0.3,0.7,2.1
14,Michael Ansley\anslemi01,SF,24,PHI,8,0,4,0.6,1.4,0.455,0,0,,0.6,1.4,0.455,0.455,0.6,0.8,0.833,0.3,0.3,0.5,0.3,0,0,0.4,0.8,1.9
