Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,39,LAL,78,78,31.3,7.2,12.7,0.564,0,0,0.333,7.2,12.7,0.565,0.564,3.1,4.4,0.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5
2,Alvan Adams\adamsal01,C,32,PHO,68,40,24.9,4.6,9.1,0.503,0,0,0,4.6,9.1,0.504,0.503,2,2.5,0.788,1.3,3.6,5,3.3,0.9,0.5,2,3,11.1
3,Michael Adams\adamsmi01,PG,24,WSB,63,0,20.7,2.5,6.2,0.407,0.4,1.6,0.275,2.1,4.6,0.454,0.443,1.7,2,0.847,0.6,1.3,2,3.9,1.3,0.1,1.3,1.4,7.2
4,Rafael Addison\addisra01,SF,22,PHO,62,12,11.5,2.4,5.3,0.441,0.3,0.8,0.32,2.1,4.5,0.463,0.465,0.8,1,0.797,0.7,1,1.7,0.7,0.4,0.1,0.9,1.2,5.8
5,Mark Aguirre\aguirma01,SF,27,DAL,80,80,33.3,9.8,19.9,0.495,0.7,1.9,0.353,9.2,18,0.51,0.512,5.4,7,0.77,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3,25.7
6,Danny Ainge\aingeda01,SG,27,BOS,71,66,35.2,5.8,11.9,0.486,1.2,2.7,0.443,4.6,9.2,0.498,0.536,2.1,2.3,0.897,0.7,2.7,3.4,5.6,1.4,0.2,2,2.7,14.8
7,Mark Alarie\alarima01,PF,23,DEN,64,25,17.3,3.4,6.9,0.49,0,0.1,0.222,3.4,6.8,0.495,0.492,1,1.6,0.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9
8,Richard Anderson\anderri01,PF,26,HOU,51,0,6.1,1.2,2.7,0.424,0.1,0.3,0.25,1.1,2.4,0.447,0.439,0.4,0.6,0.759,0.5,1.1,1.5,0.6,0.1,0.1,0.4,0.7,2.8
9,Ron Anderson\anderro01,SF,28,IND,63,0,11.4,2.2,4.7,0.473,0,0.1,0,2.2,4.6,0.481,0.473,1.3,1.7,0.787,1.2,1.2,2.4,0.9,0.5,0,0.9,1,5.8
10,John Bagley\baglejo01,PG,26,CLE,72,67,30.3,4.3,10.2,0.426,0.4,1.4,0.301,3.9,8.7,0.447,0.447,1.6,1.9,0.831,0.8,2.7,3.5,5.3,1.3,0.1,2.3,1.6,10.7
11,James Bailey\baileja01,PF,29,NJN,34,2,15.9,3.3,7,0.469,0,0,,3.3,7,0.469,0.469,1.7,2.4,0.725,1.4,2.6,4,0.6,0.4,0.7,1.6,3.5,8.3
12,Thurl Bailey\baileth01,PF,25,UTA,81,2,26.6,5.7,12.8,0.447,0,0,0,5.7,12.8,0.448,0.447,2.3,2.9,0.805,1.8,3.5,5.3,1.3,0.5,1.1,1.5,1.9,13.8
13,Greg Ballard\ballagr01,SF,32,GSW,82,7,19.3,3,6.9,0.44,0.2,0.5,0.375,2.8,6.4,0.445,0.453,0.8,1.1,0.747,1.2,2.9,4.1,1.3,0.6,0.2,0.9,2,7.1
14,Gene Banks\banksge01,SF,27,CHI,63,39,28.9,4,7.3,0.539,0,0.1,0,4,7.3,0.545,0.539,1.8,2.3,0.767,1.8,3.1,4.9,2.7,0.8,0.3,1.8,2.7,9.7
15,Charles Barkley*\barklch01,PF,23,PHI,68,62,40.3,8.2,13.8,0.594,0.3,1.5,0.202,7.9,12.3,0.643,0.606,6.3,8.3,0.761,5.7,8.9,14.6,4.9,1.8,1.5,4.7,3.7,23
16,John Battle\battljo01,SG,24,ATL,64,8,12.6,2.3,4.9,0.457,0,0.2,0,2.3,4.8,0.472,0.457,1.5,2,0.738,0.3,0.7,0.9,1.9,0.5,0.1,0.9,1.2,6
17,William Bedford\bedfowi01,C,23,PHO,50,18,19.6,2.8,7.2,0.397,0,0,0,2.8,7.1,0.398,0.397,1,1.7,0.581,1.6,3.3,4.9,1.1,0.4,0.7,1.7,2.5,6.7
18,Benoit Benjamin\benjabe01,C,22,LAC,72,61,31,4.4,9.9,0.449,0,0,0,4.4,9.9,0.45,0.449,2.6,3.7,0.715,1.9,6.3,8.1,1.9,0.8,2.6,2.6,3.5,11.5
19,Kent Benson\bensoke01,C,32,UTA,73,2,12.3,1.9,4.3,0.443,0,0.1,0.286,1.9,4.2,0.447,0.446,0.6,0.8,0.81,1.1,2.1,3.2,0.5,0.5,0.4,0.6,1.9,4.5
20,Walter Berry\berrywa01,SF-PF,22,TOT,63,45,25.2,6.5,12.2,0.531,0,0,0,6.5,12.1,0.533,0.531,3,4.6,0.649,2.2,2.7,4.9,1.7,0.6,0.6,2.4,3.1,15.9
20,Walter Berry\berrywa01,PF,22,POR,7,0,2.7,0.9,1.1,0.75,0,0,,0.9,1.1,0.75,0.75,0.1,0.1,1,0.6,0.4,1,0.1,0.3,0,0,1.1,1.9
20,Walter Berry\berrywa01,SF,22,SAS,56,45,28,7.2,13.5,0.529,0,0.1,0,7.2,13.5,0.531,0.529,3.3,5.1,0.648,2.4,3,5.4,1.9,0.6,0.7,2.7,3.4,17.6
21,Joe Binion\biniojo01,PF,25,POR,11,0,4.6,0.4,0.9,0.4,0,0,,0.4,0.9,0.4,0.4,0.5,0.9,0.6,0.7,0.9,1.6,0.1,0.2,0.2,0.3,0.5,1.3
22,Larry Bird*\birdla01,SF,30,BOS,74,73,40.6,10.6,20.2,0.525,1.2,3,0.4,9.4,17.2,0.547,0.555,5.6,6.1,0.91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1
23,Otis Birdsong\birdsot01,SG,31,NJN,7,6,18.1,2.7,6,0.452,0,0.1,0,2.7,5.9,0.463,0.452,0.9,1.3,0.667,0.4,0.6,1,2.4,0.4,0,1.3,2.3,6.3
24,Uwe Blab\blabuw01,C,24,DAL,30,0,5.3,0.7,1.7,0.392,0,0,,0.7,1.7,0.392,0.392,0.4,0.9,0.464,0.4,0.8,1.2,0.4,0.1,0.3,0.5,1.1,1.8
25,Rolando Blackman\blackro01,SG,27,DAL,80,80,34.5,7.8,15.8,0.495,0.1,0.2,0.333,7.8,15.6,0.497,0.497,5.2,5.9,0.884,1.2,2.3,3.5,3.3,0.8,0.3,2.2,1.8,21
26,Manute Bol\bolma01,C,24,WSB,82,12,18.9,1.3,2.8,0.446,0,0,0,1.3,2.8,0.448,0.446,0.5,0.8,0.672,1,3.4,4.4,0.1,0.2,3.7,0.7,2.3,3.1
27,Sam Bowie\bowiesa01,C,25,POR,5,5,32.6,6,13.2,0.455,0,0,,6,13.2,0.455,0.455,4,6,0.667,2.8,3.8,6.6,1.8,0.2,2,3,3.8,16
28,Dudley Bradley\bradldu01,SG,29,MIL,68,2,13.2,1.1,3.1,0.357,0.2,0.7,0.26,0.9,2.4,0.387,0.387,0.7,0.9,0.81,0.5,1,1.5,1,1.5,0.1,0.5,1.7,3.1
