Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
126,Mike Gminski\gminsmi01,C,31,PHI,30,29,26.4,3.6,9.5,0.384,0,0.3,0.125,3.6,9.2,0.391,0.386,1.8,2.1,0.841,2.4,4.3,6.7,1.1,0.5,1.1,1,1.4,9.1
126,Mike Gminski\gminsmi01,C,31,CHH,50,50,28.1,5,10.5,0.473,0,0.1,0.167,4.9,10.4,0.477,0.474,1.5,1.9,0.789,2.3,5.3,7.6,1.2,0.5,0.4,1.1,1.2,11.4
127,Dan Godfread\godfrda01,C,23,MIN,10,0,2,0.5,1.2,0.417,0,0.1,0,0.5,1.1,0.455,0.417,0.3,0.4,0.75,0,0.2,0.2,0,0.1,0.4,0,0.5,1.3
128,Jim Grandholm\grandji01,PF,30,DAL,26,0,6.5,1.2,2.2,0.517,0.3,0.7,0.529,0.8,1.6,0.512,0.595,0.4,0.8,0.476,0.8,1.2,1.9,0.3,0.1,0.3,0.4,1.3,3
129,Gary Grant\grantga01,PG,25,LAC,68,65,31,3.9,8.6,0.451,0.1,0.6,0.231,3.8,8.1,0.467,0.459,0.8,1.1,0.689,1,2.1,3.1,8.6,1.5,0.2,3.1,2.8,8.7
130,Greg Grant\grantgr01,PG,24,NYK,22,0,4.9,0.5,1.2,0.37,0,0.1,0.333,0.4,1.1,0.375,0.389,0.2,0.3,0.833,0,0.4,0.5,0.9,0.4,0,0.5,0.5,1.2
131,Harvey Grant\grantha01,PF,25,WSB,77,76,36.9,7.9,15.9,0.498,0,0.2,0.133,7.9,15.7,0.502,0.498,2.4,3.2,0.743,2.3,4.9,7.2,2.6,1.2,0.8,1.6,3,18.2
132,Horace Grant\grantho01,PF,25,CHI,78,76,33.9,5.1,9.4,0.547,0,0.1,0.167,5.1,9.3,0.55,0.548,2.5,3.6,0.711,3.4,5,8.4,2.3,1.2,0.9,1.2,2.6,12.8
133,Stuart Gray\grayst01,C,27,NYK,8,0,4.6,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0.4,0.4,1,0.3,1,1.3,0,0,0.1,0.3,0.8,1.4
134,Jeff Grayer\grayeje01,SG,25,MIL,82,7,17.3,2.6,5.9,0.433,0,0,0,2.6,5.9,0.436,0.433,1.2,1.8,0.687,1.4,1.6,3,1.5,0.6,0.1,1,1.2,6.4
135,A.C. Green\greenac01,PF,27,LAL,82,21,26.4,3.1,6.6,0.476,0.1,0.7,0.2,3,5.9,0.507,0.486,2.7,3.7,0.738,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,9.1
136,Rickey Green\greenri01,PG,36,PHI,79,75,28.5,4.2,9.1,0.463,0.1,0.5,0.222,4.1,8.7,0.475,0.468,1.5,1.8,0.83,0.4,1.3,1.7,5.2,0.7,0.1,1.4,1.6,10
137,Sidney Green\greensi02,PF,30,SAS,66,7,16.7,2.7,5.8,0.461,0,0,0,2.7,5.8,0.465,0.461,1.3,1.6,0.848,1.5,3.3,4.7,0.8,0.5,0.2,1.3,2.6,6.7
138,Dave Greenwood\greenda01,PF,33,SAS,63,11,16.2,1.3,2.7,0.503,0,0,0,1.3,2.7,0.509,0.503,1.1,1.5,0.734,1,2.5,3.5,0.8,0.5,0.4,1.1,2.7,3.8
139,Darrell Griffith\griffda01,SG,32,UTA,75,2,13.4,2.3,5.9,0.391,0.6,1.8,0.348,1.7,4.1,0.41,0.445,0.5,0.6,0.756,0.2,1,1.2,0.5,0.6,0.1,0.6,1.3,5.7
140,Scott Haffner\haffnsc01,PG,24,CHH,7,0,7.1,1.1,3,0.381,0,0.3,0,1.1,2.7,0.421,0.381,0.1,0.3,0.5,0.3,0.3,0.6,1.3,0.4,0.1,0.6,0.6,2.4
141,Jack Haley\haleyja01,PF,27,NJN,78,18,15.1,2.1,4.4,0.469,0,0,,2.1,4.4,0.469,0.469,1.4,2.3,0.619,1.8,2.8,4.6,0.4,0.3,0.3,0.8,2.6,5.6
142,Tom Hammonds\hammoto01,PF,23,WSB,70,7,14.6,2.2,4.8,0.461,0,0.1,0,2.2,4.7,0.467,0.461,0.8,1.1,0.722,0.8,2.1,2.9,0.6,0.2,0.1,0.8,1.5,5.2
143,Bob Hansen\hansebo01,SG,30,SAC,36,24,22.5,2.7,7.1,0.375,0.5,1.9,0.275,2.1,5.2,0.412,0.412,0.5,1,0.5,0.9,1.8,2.7,2.5,0.6,0.1,0.9,2,6.4
144,Tim Hardaway*\hardati01,PG,24,GSW,82,82,39.2,9,18.9,0.476,1.2,3.1,0.385,7.8,15.8,0.494,0.508,3.7,4.6,0.803,1.1,3,4,9.7,2.6,0.1,3.3,2.8,22.9
145,Derek Harper\harpede01,PG,29,DAL,77,77,37.4,7.4,15.9,0.467,1.2,3.2,0.362,6.3,12.7,0.493,0.503,3.7,5.1,0.731,0.8,2.3,3,7.1,1.9,0.2,2.3,2.9,19.7
146,Ron Harper\harpero01,SG,27,LAC,39,34,35.5,7.3,18.7,0.391,1.2,3.8,0.324,6.1,14.9,0.408,0.424,3.7,5.6,0.668,1.5,3.3,4.8,5.4,1.7,0.9,3.3,2.8,19.6
147,Tony Harris\harrito01,SG,23,PHI,6,0,6.8,0.7,2.7,0.25,0,0.3,0,0.7,2.3,0.286,0.25,0.3,0.7,0.5,0,0.2,0.2,0,0.2,0,0.5,0.8,1.7
148,Scott Hastings\hastisc01,PF,30,DET,27,0,4.2,0.6,1,0.571,0.1,0.1,0.75,0.5,0.9,0.542,0.625,0.5,0.5,1,0.5,0.5,1,0.3,0,0,0.3,0.9,1.8
