Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mark Acres\acresma01,C,27,ORL,80,50,21.1,1.7,3.6,0.484,0,0.1,0.75,1.7,3.5,0.48,0.489,1,1.5,0.692,1.9,3.5,5.4,0.8,0.5,0.3,0.9,3.1,4.5
2,Michael Adams\adamsmi01,PG,27,DEN,79,74,34.1,5,12.5,0.402,2,5.5,0.366,3,7.1,0.431,0.482,3.4,4,0.85,0.6,2.2,2.8,6.3,1.5,0,1.8,1.7,15.5
3,Mark Aguirre\aguirma01,SF,30,DET,78,40,25.7,5.6,11.5,0.488,0.4,1.2,0.333,5.2,10.3,0.506,0.505,2.5,3.3,0.756,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1
4,Danny Ainge\aingeda01,PG,30,SAC,75,68,36.4,6.7,15.4,0.438,1.4,3.9,0.374,5.3,11.5,0.46,0.485,3,3.6,0.831,0.9,3.4,4.3,6,1.5,0.2,2.5,3.2,17.9
5,Mark Alarie\alarima01,PF,26,WSB,82,10,23.1,4.5,9.6,0.473,0.1,0.6,0.204,4.4,9,0.49,0.479,1.3,1.6,0.812,1.8,2.7,4.6,1.7,0.7,0.5,1.2,2.7,10.5
6,Steve Alford\alforst01,PG,25,DAL,41,0,7.4,1.5,3.4,0.457,0.2,0.5,0.318,1.4,2.8,0.483,0.482,0.9,0.9,0.946,0,0.6,0.6,1,0.4,0.1,0.4,0.5,4.1
7,Randy Allen\allenra01,SG,25,SAC,63,6,11.8,1.7,3.8,0.444,0,0.1,0,1.7,3.7,0.457,0.444,0.4,0.7,0.535,0.8,1.4,2.2,0.4,0.3,0.3,0.4,1.6,3.7
8,Greg Anderson\andergr01,PF,25,MIL,60,28,21.5,3.7,7.2,0.507,0,0,,3.7,7.2,0.507,0.507,1.5,2.8,0.535,1.9,4.4,6.2,0.4,0.5,0.9,1.3,2.9,8.8
9,Nick Anderson\anderni01,SG,22,ORL,81,9,22,4.6,9.3,0.494,0,0.2,0.059,4.6,9.1,0.504,0.495,2.3,3.3,0.705,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5
10,Richard Anderson\anderri01,PF,29,CHH,54,2,11.2,1.6,3.9,0.417,0.7,1.9,0.37,0.9,2.1,0.459,0.505,0.3,0.4,0.783,0.6,1.7,2.4,1,0.4,0.2,0.5,1.2,4.3
11,Ron Anderson\anderro01,SF,31,PHI,78,3,26.8,4.9,10.8,0.451,0,0.3,0.143,4.8,10.5,0.459,0.452,2.1,2.5,0.838,1,2.7,3.8,1.8,0.9,0.2,1,1.8,11.9
12,Willie Anderson\anderwi01,SG,23,SAS,82,81,34,6.5,13.2,0.492,0.1,0.3,0.269,6.4,12.9,0.497,0.495,2.6,3.5,0.748,1.4,3.1,4.5,4.4,1.4,0.7,2.4,3.1,15.7
13,Michael Ansley\anslemi01,SF,22,ORL,72,5,17,3.2,6.5,0.497,0,0,,3.2,6.5,0.497,0.497,2.3,3.2,0.722,2.6,2.4,5,0.6,0.3,0.2,0.7,2.1,8.7
14,B.J. Armstrong\armstbj01,PG,22,CHI,81,0,15.9,2.3,4.8,0.485,0,0.1,0.5,2.3,4.8,0.484,0.489,0.9,1,0.885,0.2,1,1.3,2.5,0.6,0.1,1,1.3,5.6
15,John Bagley\baglejo01,PG,29,BOS,54,17,20.3,1.9,4,0.459,0,0.3,0.056,1.8,3.7,0.495,0.461,0.5,0.7,0.744,0.5,1.2,1.6,5.5,0.7,0.1,1.7,1.4,4.3
16,Thurl Bailey\baileth01,SF,28,UTA,82,33,31.5,5.7,11.9,0.481,0,0.1,0,5.7,11.8,0.485,0.481,2.7,3.5,0.779,1.4,3.6,5,1.7,0.4,1.2,1.7,2.1,14.2
17,Ken Bannister\bannike01,PF,29,LAC,52,1,11.3,1.5,3.1,0.478,0,0,0,1.5,3.1,0.481,0.478,1,2.1,0.473,0.8,1.4,2.2,0.3,0.3,0.1,0.8,1.8,4
18,Charles Barkley*\barklch01,SF,26,PHI,79,79,39.1,8.9,14.9,0.6,0.3,1.2,0.217,8.7,13.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2
19,Dana Barros\barroda01,PG,22,SEA,81,25,20.1,3.7,9.1,0.405,1.2,2.9,0.399,2.5,6.2,0.408,0.47,1.1,1.4,0.809,0.4,1.2,1.6,2.5,0.7,0,1.5,1.2,9.7
