Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad\abdulta01,SG,24,SAC,49,49,24.6,3.6,8.3,0.435,0.1,0.4,0.286,3.5,7.9,0.443,0.442,1.9,2.8,0.691,1.5,2.3,3.8,1,1,0.3,1.4,2.5,9.3
2,Shareef Abdur-Rahim\abdursh01,SF,22,VAN,50,50,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23
3,Cory Alexander\alexaco01,PG,25,DEN,36,4,21.6,2.7,7.2,0.373,0.8,2.9,0.286,1.9,4.3,0.432,0.431,1,1.2,0.841,0.2,1.9,2.1,3.3,1,0.1,1.9,2.1,7.3
4,Ray Allen*\allenra02,SG,23,MIL,50,50,34.4,6.1,13.5,0.45,1.5,4.2,0.356,4.6,9.3,0.492,0.505,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
5,Peter Aluma\alumape01,C,25,SAC,2,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,1,2,1
6,Derek Anderson\anderde01,SG,24,CLE,38,13,25.7,3.3,8.3,0.398,0.6,1.8,0.304,2.7,6.4,0.424,0.432,3.6,4.3,0.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8
7,Kenny Anderson\anderke01,PG,28,BOS,34,33,29.7,4.7,10.5,0.451,0.2,0.7,0.25,4.6,9.8,0.465,0.459,2.5,3,0.832,0.7,2.3,3,5.7,1,0.1,2.1,2.3,12.1
8,Nick Anderson\anderni01,SF,31,ORL,47,39,33.6,5.4,13.6,0.395,2,5.9,0.347,3.3,7.7,0.433,0.47,2.1,3.4,0.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9
9,Shandon Anderson\andersh01,SG,25,UTA,50,2,21.4,3.2,7.3,0.446,0.3,0.8,0.341,3,6.4,0.46,0.466,1.8,2.5,0.712,1,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5
10,Chris Anstey\anstech01,C,24,DAL,41,4,11.5,1.2,3.4,0.36,0,0.2,0,1.2,3.2,0.379,0.36,0.8,1.2,0.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3
11,Greg Anthony\anthogr01,PG,31,POR,50,0,16.1,2.1,5,0.414,1,2.5,0.392,1.1,2.5,0.437,0.512,1.2,1.8,0.697,0.3,1,1.3,2,1.3,0.1,1.1,1.5,6.4
12,B.J. Armstrong\armstbj01,PG,31,TOT,32,1,11.2,1.3,2.8,0.455,0.2,0.5,0.467,1,2.3,0.452,0.494,0.6,0.7,0.857,0.1,1.2,1.2,1.9,0.4,0,0.8,1,3.3
12,B.J. Armstrong\armstbj01,PG,31,CHH,10,1,17.8,2.1,4.3,0.488,0.6,0.8,0.75,1.5,3.5,0.429,0.558,0.9,1,0.9,0.1,1.5,1.6,2.7,0.3,0,1,1.6,5.7
12,B.J. Armstrong\armstbj01,PG,31,ORL,22,0,8.2,0.9,2,0.422,0,0.3,0.143,0.8,1.7,0.474,0.433,0.4,0.5,0.818,0,1,1,1.5,0.4,0,0.7,0.7,2.2
13,Darrell Armstrong\armstda01,PG,30,ORL,50,15,30,4.6,10.4,0.441,1.4,3.8,0.365,3.2,6.7,0.483,0.507,3.2,3.6,0.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8
14,Keith Askins\askinke01,SF,31,MIA,33,13,12.6,0.6,1.9,0.323,0.2,0.9,0.276,0.4,1,0.364,0.387,0.2,0.2,0.625,0.3,1,1.3,0.3,0.5,0.1,0.4,1.8,1.6
15,Stacey Augmon\augmost01,SF,30,POR,48,21,18.2,1.6,3.6,0.448,0,0,0,1.6,3.6,0.453,0.448,1.1,1.6,0.684,1,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3
16,Isaac Austin\austiis01,C,29,ORL,49,49,25.7,3.8,9.2,0.408,0,0.1,0.286,3.7,9.1,0.41,0.411,2.1,3.2,0.669,1.7,3.1,4.8,1.8,1,0.7,2.3,2.6,9.7
17,Anthony Avent\aventan01,PF,29,UTA,5,0,8.8,0.8,2.6,0.308,0,0,,0.8,2.6,0.308,0.308,0.2,0.4,0.5,1.6,0.8,2.4,0.2,0.4,0,1.4,1.2,1.8
18,Thurl Bailey\baileth01,PF,37,UTA,43,0,12.6,1.8,4.1,0.446,0,0,0,1.8,4,0.451,0.446,0.6,0.8,0.735,0.8,1.3,2.2,0.6,0.2,0.7,0.6,1.8,4.2
19,Toby Bailey\baileto01,SG,23,PHO,27,10,9.2,1.3,3.2,0.395,0,0.2,0.2,1.2,3,0.407,0.401,0.3,0.5,0.692,0.9,1.1,2,0.5,0.3,0.1,0.4,0.9,2.9
