Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,35,LAL,79,79,32.3,9.1,15.5,0.588,0,0,0,9.1,15.5,0.589,0.588,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8
2,Alvan Adams\adamsal01,C,28,PHO,80,75,30.6,6,12.3,0.486,0,0,0.333,6,12.2,0.487,0.487,2.3,2.7,0.829,2,4.8,6.9,4.7,1.4,0.9,3,3.6,14.2
3,Mark Aguirre\aguirma01,SF,23,DAL,81,75,34.4,9.5,19.6,0.483,0.2,0.9,0.211,9.3,18.7,0.496,0.488,5.3,7.3,0.728,2.4,3.9,6.3,4.1,1,0.3,3.2,3,24.4
4,Danny Ainge\aingeda01,SG,23,BOS,80,76,25.6,4.5,9,0.496,0.1,0.4,0.172,4.4,8.6,0.509,0.499,0.9,1.2,0.742,1,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9
5,Dwight Anderson\anderdw01,PG,22,DEN,5,0,6.6,1.4,2.8,0.5,0,0,,1.4,2.8,0.5,0.5,1.4,2,0.7,0,0.4,0.4,0.6,0.2,0,1,1.4,4.2
6,J.J. Anderson\anderjj01,SF,22,TOT,65,2,18.5,2.9,5.8,0.501,0,0.1,0,2.9,5.8,0.507,0.501,1.5,2.7,0.571,1.8,2.7,4.5,1,1,0.3,1.2,2.4,7.4
6,J.J. Anderson\anderjj01,SF,22,PHI,13,0,3.7,0.6,1.7,0.364,0,0.1,0,0.6,1.6,0.381,0.364,0.1,0.2,0.333,0.3,0.6,0.9,0.1,0.1,0,0.4,0.5,1.3
6,J.J. Anderson\anderjj01,SF,22,UTA,52,2,22.2,3.5,6.9,0.51,0,0.1,0,3.5,6.8,0.514,0.51,1.9,3.3,0.576,2.2,3.2,5.4,1.3,1.2,0.4,1.4,2.8,8.9
7,Richard Anderson\anderri01,C,22,SDC,78,5,16.3,2.2,5.5,0.404,0.1,0.2,0.368,2.1,5.3,0.405,0.412,0.6,0.9,0.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2
8,Tiny Archibald*\architi01,PG,34,BOS,66,19,27.4,3.6,8.4,0.425,0.1,0.4,0.208,3.5,8,0.435,0.429,3.3,4.5,0.743,0.4,1,1.4,6.2,0.6,0.1,2.5,1.7,10.5
